## q = 0.5, t = 0.25, odd
0.04 0.778801
0.08 0.778797
0.12 0.778783
0.16 0.778743
0.2 0.77866
0.24 0.77851
0.28 0.778262
0.32 0.777881
0.36 0.777327
0.4 0.776555
0.44 0.775512
0.48 0.774143
0.52 0.772384
0.56 0.770167
0.6 0.767419
0.64 0.76406
0.68 0.760004
0.72 0.755159
0.76 0.749424
0.8 0.742693
0.84 0.734847
0.88 0.72576
0.92 0.71529
0.96 0.703277
1 0.689539
1.04 0.673858
1.08 0.655968
1.12 0.635524
1.16 0.612059
1.2 0.584883
1.24 0.552882
1.28 0.514028
1.32 0.463958
1.36 0.390858
1.4 0.238661
1.44 0.00284433
1.48 1.47294e-22
1.52 2.89622e-204
1.56 0
1.6 -nan(ind)
1.64 -nan(ind)
1.68 -nan(ind)
1.72 -nan(ind)
1.76 -nan(ind)
1.8 -nan(ind)
1.84 -nan(ind)
1.88 -nan(ind)
1.92 -nan(ind)
1.96 -nan(ind)
